Rank,Name,Team,Position,Played,FantasyPointsPerGamePPR,StDev_PointsPerGamePPR
1,Baltimore Ravens,BAL,DST,17,10.2,4.04
2,Dallas Cowboys,DAL,DST,17,10.1,10.13
3,Buffalo Bills,BUF,DST,17,9.2,7.62
4,New York Jets,NYJ,DST,17,9.1,5.72
5,Miami Dolphins,MIA,DST,17,8.9,6.53
6,Cleveland Browns,CLE,DST,17,8.9,5.48
7,Las Vegas Raiders,LV,DST,17,8.6,7.77
8,New Orleans Saints,NO,DST,17,8.4,6.77
9,San Francisco 49ers,SF,DST,17,8.3,5.1
10,Indianapolis Colts,IND,DST,17,8.1,6.83
11,Pittsburgh Steelers,PIT,DST,17,8.1,6.28
12,Tampa Bay Buccaneers,TB,DST,17,7.8,5.22
13,Kansas City Chiefs,KC,DST,17,7.8,3.67
14,Houston Texans,HOU,DST,17,7.6,5.13
14,New York Giants,NYG,DST,17,7.6,7.17
16,Minnesota Vikings,MIN,DST,17,7.4,6.38
17,Jacksonville Jaguars,JAX,DST,17,7.1,5.92
18,Cincinnati Bengals,CIN,DST,17,6.9,3.86
19,Chicago Bears,CHI,DST,17,6.8,6.04
19,Denver Broncos,DEN,DST,17,6.8,5.35
21,Green Bay Packers,GB,DST,17,6.6,4.36
22,Los Angeles Chargers,LAC,DST,17,6.6,7.24
23,Detroit Lions,DET,DST,17,6.3,5.01
23,Seattle Seahawks,SEA,DST,17,6.3,6.97
25,New England Patriots,NE,DST,17,6.2,3.52
26,Atlanta Falcons,ATL,DST,17,5.8,5.25
27,Philadelphia Eagles,PHI,DST,17,5.8,3.73
28,Tennessee Titans,TEN,DST,17,5.7,3.78
29,Los Angeles Rams,LAR,DST,17,4.9,2.68
30,Carolina Panthers,CAR,DST,17,4.3,3.51
31,Arizona Cardinals,ARI,DST,17,3.8,5.27
32,Washington Commanders,WAS,DST,17,3.4,4.89
999,League Average,NFL,DST,17,7.17,5.54
