Rank,Name,Team,Position,Played,FantasyPointsPerGamePPR,StDev_PointsPerGamePPR
1,CeeDee Lamb,DAL,WR,17,23.7,10.44
4,Puka Nacua,LAR,WR,17,17.6,8.63
5,A.J. Brown,PHI,WR,17,17,9.23
6,DJ Moore,CHI,WR,17,16.9,11.35
7,Mike Evans,TB,WR,17,16.6,8.38
9,Stefon Diggs,BUF,WR,17,16.1,8.14
10,Davante Adams,LV,WR,17,15.6,10.78
17,Adam Thielen,CAR,WR,17,13.6,8.82
18,Calvin Ridley,JAX,WR,17,13.5,8.69
22,DeAndre Hopkins,TEN,WR,17,13.2,8.33
23,Jordan Addison,MIN,WR,17,13,8.01
26,Garrett Wilson,NYJ,WR,17,12.5,5.3
28,Terry McLaurin,WAS,WR,17,12.3,6.17
28,Chris Godwin,TB,WR,17,12.3,5.11
30,George Pickens,PIT,WR,17,12.3,8.92
32,Tyler Lockett,SEA,WR,17,11.9,6.98
36,Romeo Doubs,GB,WR,17,10.3,5.46
41,Gabe Davis,BUF,WR,17,9.5,9.22
43,Josh Downs,IND,WR,17,9.2,5.16
45,Darius Slayton,NYG,WR,17,8.9,5.99
47,Jaxon Smith-Njigba,SEA,WR,17,8.8,4.06
49,Tyler Boyd,CIN,WR,17,8.5,4.69
54,Elijah Moore,CLE,WR,17,7.8,4.34
55,Josh Reynolds,DET,WR,17,7.6,6.26
56,Jahan Dotson,WAS,WR,17,7.3,6.36
61,Khalil Shakir,BUF,WR,17,6.7,5.83
66,Rondale Moore,ARI,WR,17,6.2,3.9
70,Kalif Raymond,DET,WR,17,5.7,3.79
71,Nelson Agholor,BAL,WR,17,5.7,4.71
72,Trey Palmer,TB,WR,17,5.6,3.69
73,Alec Pierce,IND,WR,17,5.6,4.5
74,Quentin Johnston,LAC,WR,17,5.5,3.94
78,Michael Gallup,DAL,WR,17,5.2,5.1
90,Chris Moore,TEN,WR,17,4,2.46
91,Brandon Powell,MIN,WR,17,3.9,3.74
95,Allen Robinson II,PIT,WR,17,3.6,3.08
98,Jalin Hyatt,NYG,WR,17,3.5,4.59
100,Isaiah Hodgins,NYG,WR,17,3.5,4.1
102,Jalen Tolbert,DAL,WR,17,3.5,4.11
104,Jake Bobo,SEA,WR,17,3.3,4.38
108,Calvin Austin III,PIT,WR,17,3.1,4.07
108,Xavier Gipson,NYJ,WR,17,3.1,3.54
114,Hunter Renfrow,LV,WR,17,2.9,2.75
115,Lil'Jordan Humphrey,DEN,WR,17,2.8,4.51
120,Van Jefferson,ATL,WR,17,2.4,2.24
124,Scotty Miller,ATL,WR,17,2.3,3.33
125,Olamide Zaccheaus,PHI,WR,17,2.3,3.94
126,KhaDarel Hodge,ATL,WR,17,2.2,3.17
128,Jamison Crowder,WAS,WR,17,2.1,6.17
128,Tyler Scott,CHI,WR,17,2.1,2.05
131,Dyami Brown,WAS,WR,17,2.1,3.61
132,Deven Thompkins,TB,WR,17,2.1,3.83
138,Ronnie Bell,SF,WR,17,1.8,3.7
140,Derius Davis,LAC,WR,17,1.7,2.17
143,Byron Pringle,WAS,WR,17,1.7,2.27
146,Ihmir Smith-Marsette,CAR,WR,17,1.6,3.28
148,Trent Sherfield,BUF,WR,17,1.5,2.97
155,Ben Skowronek,LAR,WR,17,1.3,2.61
161,Tim Jones,JAX,WR,17,1.1,1.97
176,DeAndre Carter,LV,WR,17,0.6,0.98
190,Miles Boykin,PIT,WR,17,0.3,0.74
244,Trent Taylor,CHI,WR,17,0,0
2,Tyreek Hill,MIA,WR,16,23.5,9.37
3,Amon-Ra St. Brown,DET,WR,16,20.7,6.64
11,Ja'Marr Chase,CIN,WR,16,16.4,12.12
13,Michael Pittman Jr.,IND,WR,16,15.6,5.87
14,Brandon Aiyuk,SF,WR,16,15.6,7.33
16,Chris Olave,NO,WR,16,14.5,5.6
