Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Daniel Jones,4.46,30.74,3.98,8.72,7.16,0,0,0,1.9,0,0,0,0,0,0,0,0,0
Kirk Cousins,16.46,28.56,25.68,9.56,19.86,8.74,21.02,19.86,0,0,0,0,0,0,0,0,0,0
Russell Wilson,15.18,25.92,14.24,22.22,18.74,6.9,13.86,17.56,0,18.72,14.46,16.76,15.84,15.46,17.52,23.52,0,0
Jalen Hurts,12.5,25.22,19.88,24.16,27.32,19.9,23.26,27.36,25.88,0,18.9,34.5,23.92,8.88,21.92,23.44,19.18,0.6
Joshua Dobbs,0.98,25.22,17.06,23.4,8.74,10.1,16.14,22.92,24.92,25.12,16.94,4.5,0,4.62,0,0,0,0
Josh Allen,9.04,23.66,21.32,36.5,27.76,13.86,24.3,29.06,24.72,14.38,22.5,39.66,0,20.52,16.16,24.98,21.16,23.06
Geno Smith,9.08,23.12,15.44,9.2,0,11.04,13.76,13.86,2.68,24.06,13.22,7.3,29.96,0,0,17.28,16.9,20.36
Jared Goff,14.02,22.92,18.02,11.4,27.44,22.42,9.36,12.68,0,21.12,13.74,18.18,16.32,4.44,31.12,14.28,10.84,20.8
Lamar Jackson,6.56,22.88,28.18,28.14,9.94,17.12,33.88,11.98,11.48,13.02,23.96,14.98,0,31.64,18.54,22.58,36.34,0
Justin Herbert,20.86,22.2,29.3,23.38,0,19.08,10.86,24.02,7.14,28.42,25.7,13.38,7.98,1.84,0,0,0,0
C.J. Stroud,10.68,21.46,20.6,21.84,14.16,14.16,0,12.9,41.8,19.04,15.34,30.86,16.06,3.64,0,0,12.92,20.56
Desmond Ridder,8.9,21.38,6.34,6.24,26.16,16.08,13.8,3.44,0,8.66,0,9.72,8.84,25.38,7.88,0,-1.32,15.64
Sam Howell,15.18,21.26,0.6,19.6,25.42,18.34,9.46,30.98,17.7,24.18,17.74,17.3,19.18,0,8.28,-1.76,6.66,7.42
Patrick Mahomes,19.54,21.2,25.68,13.22,19.24,17.34,33.86,5.6,15.8,0,16.88,20.82,13,13.64,15.7,16.7,12,0
Ryan Tannehill,2.42,21.04,4.16,12.7,9.76,1.04,0,0,0,0,0,0,0,0,0,9.78,6.72,12.42
Jordan Love,23,20.34,24.26,17.64,4.98,0,15.3,14.56,13.82,16.66,20.88,26.62,23.68,8.92,17.46,23.96,28.44,18.54
Dak Prescott,6.32,19.6,14.36,14.34,4.32,24.88,0,28.06,28.36,37.86,16.16,32.24,28.26,17.94,6.06,18.62,20.3,25.16
Baker Mayfield,16.02,18.38,10.04,22.94,0,6.84,16.2,21.38,19,18.32,10.34,13.36,9.88,20.06,29.04,19.82,16.26,6.18
Anthony Richardson,20.92,17.74,0,29.6,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Burrow,3.18,15.38,8.16,4.7,23.38,13.8,0,27.62,22.32,19.88,8.74,0,0,0,0,0,0,0
Brock Purdy,16.8,14.74,20.3,21.32,26.08,7.7,12.78,18.3,0,23.84,26.72,10.46,29.46,21.42,25.68,2.4,17.6,0
Justin Fields,14.54,14.74,10.66,27.9,32.98,4.92,0,0,0,0,21.16,10.58,0,24.72,9.64,24.5,25.22,8.62
Matthew Stafford,14.46,13.98,11.46,16.16,16.88,13.24,14.04,11.38,0,0,9.7,23.36,22.96,23.66,18.52,20.72,12.58,0
Mac Jones,24.14,13.74,13.34,0.7,-1.6,5.9,19.98,12.24,11.1,7.3,0,-0.44,0,0,0,0,0,0
Bryce Young,7.54,13.52,0,7.16,18.28,12.68,0,14.5,9.02,9.2,5.22,8.06,7.12,7.48,7.58,22.18,2.68,4.16
