Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Grand Total
Aaron Jones,26.7,0,0,2.4,0,0,8.7,8.6,17.9,9.4,2.7,0,0,0,10.9,14.5,14,19.1,134.9
Adam Prentice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,2.4
AJ Dillon,5.6,7.3,3.3,1.1,13.6,0,11.5,10.2,5.3,9.1,10.1,11.1,9.7,9.8,0,7.2,2.7,0,117.6
Alec Ingold,5.4,0,0,3.3,0,0,0,1.5,1.1,0,4.6,0,0.7,2.3,0,3.2,2.8,0,24.9
Alex Armah,0,0,0,0,0,0,0,1,0,1.3,0,0,0,0,0,0,0,2,4.3
Alexander Mattison,13.4,4.9,17.5,10.8,12.6,11.2,6.2,4.3,17.3,4.3,7,8.3,0,6.6,0,-0.1,5,3.9,133.2
Alvin Kamara,0,0,0,21.4,18.7,17.4,29.3,27,11,18.5,0,15.9,28.9,13.5,16,8.5,6.9,0,233
Ameer Abdullah,0,1.5,3.6,3.4,2.5,0,0,2.9,4.5,1.4,1.4,2.3,0,3.9,6.5,2.2,3.2,1.7,41
Andrew Beck,0,0.2,0,0,0,0,0,5.9,2.5,0,0,1.1,1.5,3.6,0.5,8.6,0,8.9,32.8
Anthony McFarland Jr.,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1
Antonio Gibson,0.9,8.3,3.4,3.6,10.4,8.6,5.1,9.2,12.6,16.5,0,6.7,11.2,0,8.5,10.2,5.6,6.6,127.4
Austin Ekeler,26.4,0,0,0,0,10.2,5.6,23.3,21,21.5,7,9.4,4.7,21,7.8,11.6,4,11.9,185.4
Ben Mason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bijan Robinson,20.3,21.2,10,18.7,11.8,13,0.3,12.2,5.9,17.6,0,27.3,10.9,19.8,0.4,19.2,11.6,26.1,246.3
Boston Scott,2,4,0,0,0,2.6,0,1.4,0,0,0.8,1.4,3.9,0.9,0,-1.7,0,0.5,15.8
Brandon Bolden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,2,0.6,0,11.1
Breece Hall,15.7,0.9,3.7,9.9,28.4,20.3,0,21.3,10,10.5,18.3,11.9,10.5,26.6,2.8,43.1,27.6,29,290.5
Brian Robinson Jr.,13.6,28.9,7,13.1,8.3,13.6,8.3,9.9,11.7,27.7,20.2,8.4,5.3,0,0,0,11.6,10.5,198.1
C.J. Ham,2.7,0,1.7,0,0,0,0,1.2,0,0,0,2.3,0,0.7,0,1.6,0,0,10.2
Cam Akers,8.9,0,0,7.1,3.8,2.5,8.1,9.5,6.8,0,0,0,0,0,0,0,0,0,46.7
Chase Brown,0,0.2,0,0.7,1.2,2.2,0,0,0,0,0,0,6.1,19.5,8.1,4.4,4.8,6.3,53.5
Chase Edmonds,0.8,1.2,0,0,0,0,0,4.1,0.4,1.7,2.9,1.1,1.9,7.8,1.3,2.5,10.6,3.4,39.7
Chris Brooks,0,0,6.6,0,0,2.8,0,0,0,0,0,0,0,0,0,0,1.2,0,10.6
Chris Evans,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1
Chris Rodriguez Jr.,0.7,0,0,0,0,2.3,3.1,0,0,0,3.8,2.1,2.9,0,3.5,19.5,0,0,37.9
Christian McCaffrey,25.9,22.5,22.9,48.7,13.8,14.2,22.6,29.8,0,20.2,21.3,30.9,22.3,16.3,41.7,25.1,13.1,0,391.3
Chuba Hubbard,8.9,10,2.4,7.3,4.5,16,0,7.4,10.7,5.9,8.5,20.2,22.4,11.6,12.3,12.1,11.1,11.2,182.5
Clyde Edwards-Helaire,3.9,3.7,12.7,2.3,0.4,2.6,0.5,0.4,0,0,2,0.5,2.4,8.8,20.1,7.8,0,2,70.1
Cordarrelle Patterson,0,0,0,0,1.7,1.6,5.6,0.7,1.3,4,0,4.3,2.7,0.7,7,5.3,0,2,36.9
Corey Clement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Reynolds,0,1.5,1.5,0,11.2,6.3,3.5,7.6,0,0,-2,0,0,0,0,0,0,0,29.6
Dalvin Cook,8.9,0.2,5.9,2.8,2.3,2.4,0,0.5,1.8,2.6,1.3,4.1,3.6,1.8,2,0,0,0,40.2
Dameon Pierce,6.7,5.5,14.9,11.8,9.2,3.4,0,4.6,0,0,0,2.8,10.1,1.7,0.3,2.6,3.1,0,76.7
Damien Harris,3.9,9.3,1.5,2.9,1.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,19
Damien Williams,0,0,0,0,0,5.4,0.2,1.9,0,0,0,0,0,0,0,0,0,0,7.5
D'Andre Swift,1.3,27.1,14.8,17.9,16.8,17.8,10.5,14.4,9.4,0,19.7,9.4,4,3.9,9.5,15.2,7.6,0,199.3
Dare Ogunbowale,0,0.4,0,0,0,0,0,0,3,0,0,0,2.5,2.1,1.7,0.6,0,0,10.3
Darrell Henderson Jr.,0,0,0,0,0,0,13.6,11.5,5.5,0,12.9,0,0,0,0,0,0,0,43.5
Darrynton Evans,0,0,0,0,0,4.4,6.4,13,4.1,0.5,0,1.6,0,0,0,0,0,0,30
David Montgomery,13.4,12.4,0,34.1,20.9,4.3,0,0,0,17.6,17.8,15.1,12.5,11.5,10.2,14.9,12.5,10,207.2
DeeJay Dallas,2.8,0.3,1.5,0,0,0.9,-1,0,0,0,2.4,2.5,0.6,0,0,0.2,0,0,10.2
Deneric Prince,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deon Jackson,3.8,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,4
D'Ernest Johnson,-0.4,2.7,3.2,-0.2,0,1.9,0,0.8,0,6,6.4,7.1,1.9,4.8,0.5,0.2,0,-0.1,34.8
Derrick Gore,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0.3,2.6
Derrick Henry,13.9,18.5,2,24.38,9.2,19.3,0,16.2,19.2,3,5.4,20.6,25,18.1,5,21.38,4.2,21.3,246.66
Deuce Vaughn,0.8,6.2,0,2.1,1.8,0,0,0,0,1.9,0,0,0,0,0,0,2.2,0,15
Devin Singletary,1.5,3.4,6.5,8.84,0,7.2,0,6.3,4.6,23.1,19.8,13.2,5,12.5,21,9.3,11.6,13.5,167.34
Devine Ozigbo,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,2.3
De'Von Achane,0,1.9,51.3,27,21.5,0,0,0,0,0,1.5,0,25.3,12.1,9.2,4.1,23.7,13.1,190.7
D'Onta Foreman,4.4,0,0,0,0,7.7,33,4.6,8.3,17.2,7.4,0,0,9.2,-0.6,0,0,0,91.2
Dwayne Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elijah Dotson,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9
Elijah Mitchell,1,0,7.4,0,0,-0.3,-0.1,0.2,0,2.3,2.4,4.6,1.3,0,0,0,14,14.7,47.5
Emanuel Wilson,0,0.5,2.2,0,0,0,4.7,0,4.3,0,3.1,0,0,0,0,0,0,0,14.8
Emari Demercado,0,2.5,0.2,5.4,12.7,2.7,11.5,8.9,0,0,0,1.5,0,0,14,12,1.9,0,73.3
Eric Gray,0,0,0,0,3.6,0.2,0,0,0,0,0,0,0,0,3.6,0,1.8,3.8,13
