Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Grand Total
Adam Trautman,8.4,0,0,0,12.6,1.4,1.5,0,0,3.5,5.3,7.8,1.6,9.9,3.4,0,1.9,3.1,60.4
Albert Okwuegbunam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Firkser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Hooper,3,4,0,2.1,3.1,3.9,3.8,3.9,2,1.7,0,2.4,0,1.5,0,3.3,5.8,7.9,48.4
Ben Sims,0,0,0,0,2.2,0,1.2,0,0,0,0,0,7.1,0,0,0,1.6,0,12.1
Blake Bell,9.2,0,0,0,0,0,-0.3,0,0,0,0,0,0,0,0,1.4,0,1.3,11.6
Blake Whiteheart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brady Russell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brayden Willis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brenton Strange,0,0,2.7,0,0,10.7,0,0,0,0,0,0,0,0,0,0,1.1,0,14.5
Brevin Jordan,0,4.7,9.3,0,0,2.1,0,0,0,0,0,1.9,9.4,6.5,2.4,4.7,9.9,0,50.9
Brock Wright,3.7,0,0,0,4.6,1.7,0,1.5,0,10.3,0,1.9,1.8,2.6,0,0,0,0,28.1
Brycen Hopkins,3.1,0,0,1.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,6.7,12.8
C.J. Uzomah,0,0,1.9,7.1,3.2,0,0,2.9,3.1,1.6,0,0,0,0,0,0,0,0,19.8
Cade Otton,3.9,10.1,2.6,10.3,0,2.5,9.3,8.7,23,3,8.9,8.5,0,9.6,6.4,1.7,3,5,116.5
Charlie Kolar,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,2.5,2.7,8.9,5.3,21.7
Charlie Woerner,0,0,0,0,0,0,0,0,0,0,0,1.9,0,1.3,0,0,0,3,6.2
Chigoziem Okonkwo,0,7.5,3.7,5.9,8.3,3.8,0,6.7,5.8,5.7,1.6,8.5,9.4,9.6,6.6,18.3,6.4,5.6,113.4
Chris Manhertz,0,0,0,2,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,3.6
Chris Pierce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colby Parkinson,1.8,6.1,6.8,0,0,4.9,4.6,0,1.6,1.3,0,1.9,0,10.8,1.6,10.7,5.8,3.8,61.7
Cole Fotheringham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,1.6
Cole Kmet,9.4,7.8,4.2,27.6,15.2,2.9,0,17.9,23.5,9.6,5,11.3,0,11.6,13.3,14.7,0,7.1,181.1
Cole Turner,2.7,4.1,7.5,0,1.9,0,0,0,0,0,1.7,3.9,1.2,0,0,0,0,0,23
Connor Heyward,3.9,0,0,0,5.3,0,4.3,7.4,3.6,6.2,0,3.1,0,3.5,0,0,0,2.4,39.7
Dallas Goedert,0,8.2,9.1,4.5,25.7,9.2,18.7,7.6,8,0,0,0,0,7,7.1,14.1,15.7,1.4,136.3
Dalton Keene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dalton Kincaid,6.6,9.3,2.3,6.7,3.9,0,15.5,17.5,16.1,16.1,10.6,8.8,0,7.1,0,1.7,12.7,15.4,150.3
Dalton Schultz,2.4,7.4,1.9,13.2,19.5,16.1,0,2.5,27,11.1,11.2,1.2,0,0,9.8,14.1,3.9,9.2,150.5
Daniel Bellinger,1.1,0,1.8,1.6,1.7,0,0,0,7.3,5.4,6.8,1.8,0,3.5,3.3,8.3,7.9,0,50.5
Darnell Washington,0,0,0,2,0,0,0,0,1.7,1.6,1.8,2,0,2.2,0,1.8,0,0,13.1
Darrell Daniels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darren Waller,6.6,13.6,5,5.1,16.6,9.3,22.8,1.4,0,0,0,0,0,0,8,5.2,10.1,9.5,113.2
