Rank,PlayerID,Name,Team,Position,Played,ReceivingTargets,Receptions,PointsFromRec,PFREC_PCT_TOTAL,ReceptionPercentage,ReceivingYards,PointsFromRecYards,PFRECY_PCT_TOTAL,ReceivingTouchdowns,PointsFromRecTDs,PFRECTD_PCT_TOTAL,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,PointsFromRYDs,PFRY_PCT_TOTAL,RushingYardsPerAttempt,RushingTouchdowns,PointsFromRuTDs,PFRTD_PCT_TOTAL,Fumbles,FumblesLost,PointsFromFum,PFFUM_PCT_TOTAL,FantasyPointsPerGamePPR,FantasyPointsPPR
1,23141,Sam LaPorta,DET,TE,17,120,86,86.00,0.36,71.7,889,88.90,0.37,10,60.00,0.25,48,7.4,10.3,1,4,0.40,0.00,4,0,0.00,0.00,0,0,0.00,0.00,14.1,235.30
2,18912,Evan Engram,JAX,TE,17,143,114,114.00,0.50,79.7,963,96.30,0.42,4,24.00,0.10,34,6.7,8.4,0,0,0.00,0.00,0,0,0.00,0.00,3,2,-4.00,-0.02,13.5,234.28
3,15048,Travis Kelce,KC,TE,15,121,93,93.00,0.42,76.9,984,98.40,0.45,5,30.00,0.14,53,8.1,10.6,0,0,0.00,0.00,0,0,0.00,0.00,1,1,-2.00,-0.01,14.6,221.39
4,20805,T.J. Hockenson,MIN,TE,15,127,95,95.00,0.43,74.8,960,96.00,0.44,5,30.00,0.14,29,7.6,10.1,0,0,0.00,0.00,0,0,0.00,0.00,1,1,-2.00,-0.01,14.6,220.99
5,19063,George Kittle,SF,TE,16,90,65,65.00,0.32,72.2,1020,102.00,0.50,6,36.00,0.18,66,11.3,15.7,1,2,0.20,0.00,2,0,0.00,0.00,0,0,0.00,0.00,12.7,203.20
6,18876,David Njoku,CLE,TE,16,123,81,81.00,0.40,65.9,882,88.20,0.44,6,36.00,0.18,43,7.2,10.9,0,0,0.00,0.00,0,0,0.00,0.00,2,2,-4.00,-0.02,12.6,205.18
7,23251,Trey McBride,ARI,TE,17,106,81,81.00,0.45,76.4,825,82.50,0.45,3,18.00,0.10,38,7.8,10.2,0,0,0.00,0.00,0,0,0.00,0.00,1,0,0.00,0.00,10.7,181.50
8,21772,Cole Kmet,CHI,TE,17,90,73,73.00,0.40,81.1,719,71.90,0.40,6,36.00,0.20,53,8,9.8,3,2,0.20,0.00,0.7,0,0.00,0.00,1,0,0.00,0.00,10.7,181.10
9,23138,Jake Ferguson,DAL,TE,17,102,71,71.00,0.40,69.6,761,76.10,0.43,5,30.00,0.17,40,7.5,10.7,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,10.4,177.10
10,19920,Dalton Schultz,HOU,TE,15,88,59,59.00,0.39,67,635,63.50,0.42,5,30.00,0.20,31,7.2,10.8,0,0,0.00,0.00,0,0,0.00,0.00,1,1,-2.00,-0.01,10,152.49
11,24102,Dalton Kincaid,BUF,TE,16,91,73,73.00,0.49,80.2,673,67.30,0.45,2,12.00,0.08,51,7.4,9.2,0,0,0.00,0.00,0,0,0.00,0.00,1,1,-2.00,-0.01,9.4,152.29
12,22508,Kyle Pitts,ATL,TE,17,90,53,53.00,0.39,58.9,667,66.70,0.49,3,18.00,0.13,39,7.4,12.6,1,-4,-0.40,0.00,-4,0,0.00,0.00,0,0,0.00,0.00,8.1,137.30
13,19863,Dallas Goedert,PHI,TE,14,83,59,59.00,0.43,71.1,592,59.20,0.43,3,18.00,0.13,49,7.1,10,1,1,0.10,0.00,1,0,0.00,0.00,0,0,0.00,0.00,9.7,136.30
14,19803,Mark Andrews,BAL,TE,10,61,45,45.00,0.33,73.8,544,54.40,0.40,6,36.00,0.27,38,8.9,12.1,1,0,0.00,0.00,0,0,0.00,0.00,1,0,0.00,0.00,13.5,135.40
15,16656,Logan Thomas,WAS,TE,16,78,55,55.00,0.43,70.5,496,49.60,0.39,4,24.00,0.19,29,6.4,9,1,2,0.20,0.00,2,0,0.00,0.00,2,2,-4.00,-0.03,7.9,128.77
16,18990,Jonnu Smith,ATL,TE,17,70,50,50.00,0.40,71.4,582,58.20,0.47,3,18.00,0.14,60,8.3,11.6,1,0,0.00,0.00,0,0,0.00,0.00,1,1,-2.00,-0.02,7.3,126.18
17,19988,Tyler Conklin,NYJ,TE,17,87,61,61.00,0.50,70.1,621,62.10,0.50,0,0.00,0.00,37,7.1,10.2,1,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,7.2,123.10
18,17975,Hunter Henry,NE,TE,14,61,42,42.00,0.35,68.9,419,41.90,0.35,6,36.00,0.30,24,6.9,10,0,0,0.00,0.00,0,0,0.00,0.00,1,0,0.00,0.00,8.6,119.90
19,23134,Cade Otton,TB,TE,17,67,47,47.00,0.40,70.1,455,45.50,0.39,4,24.00,0.21,27,6.8,9.7,0,0,0.00,0.00,0,0,0.00,0.00,1,1,-2.00,-0.02,6.9,116.48
20,23489,Chigoziem Okonkwo,TEN,TE,17,77,54,54.00,0.48,70.1,528,52.80,0.47,1,6.00,0.05,39,6.9,9.8,2,6,0.60,0.01,3,0,0.00,0.00,0,0,0.00,0.00,6.7,113.40
21,16964,Darren Waller,NYG,TE,12,74,52,52.00,0.46,70.3,552,55.20,0.49,1,6.00,0.05,29,7.5,10.6,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,9.4,113.20
22,18935,Gerald Everett,LAC,TE,15,70,51,51.00,0.46,72.9,411,41.10,0.37,3,18.00,0.16,31,5.9,8.1,3,10,1.00,0.01,3.3,0,0.00,0.00,3,0,0.00,0.00,7.4,111.10
23,18032,Tyler Higbee,LAR,TE,15,70,47,47.00,0.43,67.1,495,49.50,0.46,2,12.00,0.11,33,7.1,10.5,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,7.2,108.50
24,23256,Isaiah Likely,BAL,TE,17,40,30,30.00,0.30,75,411,41.10,0.41,5,30.00,0.30,54,10.3,13.7,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,5.9,101.10
25,21738,Juwan Johnson,NO,TE,13,59,37,37.00,0.38,62.7,368,36.80,0.38,4,24.00,0.25,32,6.2,9.9,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,7.5,97.80
26,20506,Tanner Hudson,CIN,TE,12,50,39,39.00,0.49,78,352,35.20,0.44,1,6.00,0.07,26,7,9,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,6.7,80.20
27,20905,Donald Parham Jr.,LAC,TE,14,41,27,27.00,0.34,65.9,285,28.50,0.36,4,24.00,0.30,24,7,10.6,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,5.7,79.50
28,24118,Tucker Kraft,GB,TE,17,40,31,31.00,0.39,77.5,355,35.50,0.45,2,12.00,0.15,43,8.9,11.5,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,4.6,78.50
29,22507,Pat Freiermuth,PIT,TE,12,47,32,32.00,0.42,68.1,308,30.80,0.40,2,12.00,0.16,29,6.6,9.6,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,6.4,74.80
30,24150,Luke Musgrave,GB,TE,11,46,34,34.00,0.45,73.9,352,35.20,0.47,1,6.00,0.08,37,7.7,10.4,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,6.8,75.20
31,20753,Noah Fant,SEA,TE,17,43,32,32.00,0.44,74.4,414,41.40,0.56,0,0.00,0.00,51,9.6,12.9,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,4.3,73.40
32,22823,Kylen Granson,IND,TE,15,50,30,30.00,0.41,60,368,36.80,0.50,1,6.00,0.08,46,7.4,12.3,1,2,0.20,0.00,2,0,0.00,0.00,0,0,0.00,0.00,4.9,73.00
33,19943,Durham Smythe,MIA,TE,16,43,35,35.00,0.49,81.4,366,36.60,0.51,0,0.00,0.00,22,8.5,10.5,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,4.5,71.60
34,23140,Michael Mayer,LV,TE,14,40,27,27.00,0.38,67.5,304,30.40,0.43,2,12.00,0.17,32,7.6,11.3,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,5.1,69.40
35,21785,Noah Gray,KC,TE,17,41,28,28.00,0.40,68.3,305,30.50,0.43,2,12.00,0.17,34,7.4,10.9,1,1,0.10,0.00,1,0,0.00,0.00,0,0,0.00,0.00,4.2,70.60
36,19853,Mike Gesicki,NE,TE,17,45,29,29.00,0.44,64.4,244,24.40,0.37,2,12.00,0.18,18,5.4,8.4,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,3.8,65.40
37,21807,Colby Parkinson,SEA,TE,17,34,25,25.00,0.41,73.5,247,24.70,0.40,2,12.00,0.19,27,7.3,9.9,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,3.6,61.70
38,22662,Tommy Tremble,CAR,TE,16,32,23,23.00,0.38,71.9,194,19.40,0.32,3,18.00,0.30,30,6.1,8.4,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,3.8,60.40
38,21786,Adam Trautman,DEN,TE,17,35,22,22.00,0.36,62.9,204,20.40,0.34,3,18.00,0.30,24,5.8,9.3,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,3.6,60.40
40,20850,Dawson Knox,BUF,TE,12,36,22,22.00,0.40,61.1,186,18.60,0.34,2,12.00,0.22,17,5.2,8.5,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,4.6,52.60
41,20899,Josh Oliver,MIN,TE,17,28,22,22.00,0.41,78.6,213,21.30,0.40,2,12.00,0.23,33,7.6,9.7,0,0,0.00,0.00,0,0,0.00,0.00,1,1,-2.00,-0.04,3.1,55.26
42,14856,Zach Ertz,ARI,TE,7,43,27,27.00,0.52,62.8,187,18.70,0.36,1,6.00,0.12,17,4.3,6.9,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,7.4,51.70
43,22506,Brevin Jordan,HOU,TE,14,21,17,17.00,0.33,81,219,21.90,0.43,2,12.00,0.24,27,10.4,12.9,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,3.6,50.90
44,23485,Daniel Bellinger,NYG,TE,17,28,25,25.00,0.50,89.3,255,25.50,0.50,0,0.00,0.00,26,9.1,10.2,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,3,50.50
45,20931,Drew Sample,CIN,TE,17,27,22,22.00,0.44,81.5,163,16.30,0.32,2,12.00,0.24,22,6,7.4,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,3,50.30
46,18900,Mo Alie-Cox,IND,TE,17,22,13,13.00,0.26,59.1,161,16.10,0.33,3,18.00,0.37,35,7.3,12.4,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,2.9,47.10
47,17963,Austin Hooper,LV,TE,17,31,25,25.00,0.52,80.6,234,23.40,0.48,0,0.00,0.00,21,7.5,9.4,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,2.8,48.40
48,20884,Foster Moreau,NO,TE,15,25,21,21.00,0.45,84,193,19.30,0.42,1,6.00,0.13,23,7.7,9.2,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,3.1,46.30
49,19843,Hayden Hurst,CAR,TE,9,32,18,18.00,0.42,56.2,184,18.40,0.43,1,6.00,0.14,48,5.8,10.2,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,4.7,42.40
50,19165,Johnny Mundt,MIN,TE,17,23,17,17.00,0.42,73.9,172,17.20,0.43,1,6.00,0.15,32,7.5,10.1,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,2.4,40.20
