Rank,PlayerID,Name,Team,Position,Played,ReceivingTargets,Receptions,PointsFromRec,PFREC_PCT_TOTAL,ReceptionPercentage,ReceivingYards,PointsFromRecYards,PFRECY_PCT_TOTAL,ReceivingTouchdowns,PointsFromRecTDs,PFRECTD_PCT_TOTAL,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,PointsFromRYDs,PFRY_PCT_TOTAL,RushingYardsPerAttempt,RushingTouchdowns,PointsFromRuTDs,PFRTD_PCT_TOTAL,Fumbles,FumblesLost,PointsFromFum,PFFUM_PCT_TOTAL,FantasyPointsPerGamePPR,FantasyPointsPPR
1,21679,CeeDee Lamb,DAL,WR,17,181,135,135,0.34,74.6,1749,174.9,0.44,12,72,0.18,92,9.7,13,14,113,11.3,0.03,8.1,2,12,0.03,3,2,-4,-0.01,23.7,401.2
2,18082,Tyreek Hill,MIA,WR,16,171,119,119,0.32,69.6,1799,179.9,0.48,13,78,0.21,78,10.5,15.1,6,15,1.5,0.00,2.5,0,0,0.00,1,1,-2,-0.01,23.5,376.4
3,22587,Amon-Ra St. Brown,DET,WR,16,164,119,119,0.36,72.6,1515,151.5,0.46,10,60,0.18,70,9.2,12.7,4,24,2.4,0.01,6,0,0,0.00,1,1,-2,-0.01,20.7,330.9
4,24172,Puka Nacua,LAR,WR,17,160,105,105,0.35,65.6,1486,148.6,0.50,6,36,0.12,80,9.3,14.2,12,89,8.9,0.03,7.4,0,0,0.00,1,0,0,0.00,17.6,298.5
5,21042,A.J. Brown,PHI,WR,17,158,106,106,0.37,67.1,1456,145.6,0.50,7,42,0.15,59,9.2,13.7,0,0,0,0.00,0,0,0,0.00,2,2,-4,-0.01,17,289.6
6,19844,DJ Moore,CHI,WR,17,136,96,96,0.34,70.6,1364,136.4,0.48,8,48,0.17,58,10,14.2,4,21,2.1,0.01,5.2,1,6,0.02,1,1,-2,-0.01,16.9,286.5
7,16597,Mike Evans,TB,WR,17,136,79,79,0.28,58.1,1255,125.5,0.44,13,78,0.28,75,9.2,15.9,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,16.6,282.5
8,15076,Keenan Allen,LAC,WR,13,150,108,108,0.40,72,1243,124.3,0.46,7,42,0.15,42,8.3,11.5,2,6,0.6,0.00,3,0,0,0.00,2,1,-2,-0.01,21.5,272.9
9,16906,Stefon Diggs,BUF,WR,17,160,107,107,0.39,66.9,1183,118.3,0.44,8,48,0.18,55,7.4,11.1,1,5,0.5,0.00,5,0,0,0.00,2,1,-2,-0.01,16.1,271.8
10,16470,Davante Adams,LV,WR,17,175,103,103,0.39,58.9,1144,114.4,0.43,8,48,0.18,46,6.5,11.1,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,15.6,265.4
11,22564,Ja'Marr Chase,CIN,WR,16,145,100,100,0.38,69,1216,121.6,0.46,7,42,0.16,76,8.4,12.2,3,-6,-0.6,0.00,-2,0,0,0.00,1,0,0,0.00,16.4,263
12,21756,Nico Collins,HOU,WR,15,109,80,80,0.31,73.4,1297,129.7,0.50,8,48,0.19,75,11.9,16.2,1,7,0.7,0.00,7,0,0,0.00,1,0,0,0.00,17.4,258.4
13,21744,Michael Pittman Jr.,IND,WR,16,156,109,109,0.44,69.9,1152,115.2,0.47,4,24,0.10,75,7.4,10.6,0,0,0,0.00,0,0,0,0.00,2,1,-2,-0.01,15.6,246.2
