Rank,Name,Team,Position,Played,FantasyPointsPerGamePPR,StDev_PointsPerGamePPR
1,Brandon Aubrey,DAL,K,17,10.4,4.2
2,Cairo Santos,CHI,K,17,8.8,4.29
2,Matt Gay,IND,K,17,8.8,5.35
4,Justin Tucker,BAL,K,17,8.8,3.81
4,Jake Elliott,PHI,K,17,8.8,4.4
6,Harrison Butker,KC,K,17,8.6,4.68
7,Jason Myers,SEA,K,17,8.6,3.94
8,Blake Grupe,NO,K,17,8.4,3.94
8,Cameron Dicker,LAC,K,17,8.4,4.39
10,Jason Sanders,MIA,K,17,8.2,4.73
11,Dustin Hopkins,CLE,K,15,9.3,4.36
12,Brandon McManus,JAX,K,17,7.9,4.72
13,Chase McLaughlin,TB,K,17,7.9,3.91
14,Evan McPherson,CIN,K,17,7.8,3.67
15,Greg Zuerlein,NYJ,K,16,8.1,5.27
16,Younghoe Koo,ATL,K,17,7.6,4.8
16,Tyler Bass,BUF,K,17,7.6,4.43
18,Jake Moody,SF,K,17,7.5,3.15
19,Chris Boswell,PIT,K,17,7.4,3.79
20,Wil Lutz,DEN,K,17,7.4,4.46
20,Nick Folk,TEN,K,17,7.4,3.76
22,Matt Prater,ARI,K,17,7.3,4.6
23,Anders Carlson,GB,K,17,7.1,2.17
24,Greg Joseph,MIN,K,17,6.8,2.68
25,Daniel Carlson,LV,K,17,6.6,3.45
25,Ka'imi Fairbairn,HOU,K,12,9.3,4.84
27,Eddy Piñeiro,CAR,K,15,6.8,2.56
28,Joey Slye,WAS,K,17,5.6,2.61
29,Riley Patterson,CLE,K,15,6.1,4.4
30,Chad Ryland,NE,K,17,4.5,3.11
31,Brett Maher,LAR,K,8,8.8,5.47
32,Lucas Havrisik,LAR,K,9,7.6,3.37
33,Graham Gano,NYG,K,8,5.9,3.66
34,Matt Ammendola,HOU,K,5,5.6,4.59
35,Randy Bullock,NYG,K,6,4.5,2.22
36,Michael Badgley,DET,K,4,6.2,0.43
37,Mason Crosby,NYG,K,3,7.7,0.94
38,Austin Seibert,NYJ,K,1,4,0
39,Matthew Wright,CAR,K,1,0,0
999,League Average (8+ Games),NFL,K,15.85,7.76,4.03
