Rank,Name,Team,Position,Played,FantasyPointsPerGamePPR,StDev_PointsPerGamePPR
1,Josh Allen,BUF,QB,17,23.1,7.437
2,Jalen Hurts,PHI,QB,17,21,7.593
3,Dak Prescott,DAL,QB,17,20.2,9.185
4,Lamar Jackson,BAL,QB,16,20.7,8.854
5,Jordan Love,GB,QB,17,18.8,5.991
6,Brock Purdy,SF,QB,16,18.5,7.228
7,Jared Goff,DET,QB,17,17,6.589
8,Patrick Mahomes,KC,QB,16,17.5,6.118
9,C.J. Stroud,HOU,QB,15,18.4,8.65
10,Baker Mayfield,TB,QB,17,16.1,5.893
11,Tua Tagovailoa,MIA,QB,17,15.9,6.058
12,Trevor Lawrence,JAX,QB,16,16.4,6.69
13,Sam Howell,WAS,QB,17,15.1,8.568
14,Russell Wilson,DEN,QB,15,17.1,4.387
15,Matthew Stafford,LAR,QB,15,16.2,4.482
16,Derek Carr,NO,QB,17,14.2,6.446
17,Justin Herbert,LAC,QB,13,18,8.501
18,Justin Fields,CHI,QB,13,17.7,8.464
19,Geno Smith,SEA,QB,15,15.2,6.883
20,Joshua Dobbs,MIN,QB,13,15.4,8.427
21,Gardner Minshew,IND,QB,16,12.3,6.21
22,Desmond Ridder,ATL,QB,15,11.8,7.611
23,Bryce Young,CAR,QB,16,9.8,5.04
24,Kirk Cousins,MIN,QB,8,18.7,6.536
25,Joe Burrow,CIN,QB,10,14.7,7.996
26,Kyler Murray,ARI,QB,8,18.3,3.831
27,Jake Browning,CIN,QB,9,16,7.613
28,Taysom Hill,NO,QB,16,9,6.975
29,Aidan O'Connell,LV,QB,11,11.4,6.95
30,Zach Wilson,NYJ,QB,12,10,5.402
31,Kenny Pickett,PIT,QB,12,9.2,4.673
32,Mac Jones,NE,QB,11,9.7,7.885
33,Will Levis,TEN,QB,9,11.3,7.359
34,Joe Flacco,CLE,QB,5,20.2,3.313
35,Tommy Devito,NYG,QB,10,9.4,6.88
36,Tyrod Taylor,NYG,QB,11,7.9,7.828
37,Deshaun Watson,CLE,QB,6,14.5,7.95
38,Ryan Tannehill,TEN,QB,10,8,6.147
39,Anthony Richardson,IND,QB,4,18.2,9.048
40,Bailey Zappe,NE,QB,10,6.9,7.228
41,Easton Stick,LAC,QB,5,13.5,4.615
42,Nick Mullens,MIN,QB,5,13.3,6.261
43,Taylor Heinicke,ATL,QB,5,13.2,2.026
44,Jimmy Garoppolo,LV,QB,7,9.2,5.618
45,Daniel Jones,NYG,QB,6,9.5,9.754
46,Tyson Bagent,CHI,QB,5,10.7,3.603
47,Mitch Trubisky,PIT,QB,5,9.7,6.655
48,Mason Rudolph,PIT,QB,4,9.9,7.138
49,Drew Lock,SEA,QB,4,7.3,6.79
50,Trevor Siemian,NYJ,QB,5,5.4,5.767
51,Jarrett Stidham,DEN,QB,3,8.9,6.282
52,Carson Wentz,LAR,QB,2,13.1,13.06
53,Tyler Huntley,BAL,QB,6,4.3,4.907
54,Andy Dalton,CAR,QB,4,5.9,10.179
55,Sam Darnold,SF,QB,10,2.3,5.37
56,Jacoby Brissett,WAS,QB,3,7.6,5.742
57,Dorian Thompson-Robinson,CLE,QB,8,2.8,3.854
58,C.J. Beathard,JAX,QB,7,3.1,3.767
59,P.J. Walker,CLE,QB,6,3.3,3.874
60,Davis Mills,HOU,QB,6,3,6.217
61,Jeff Driskel,CLE,QB,1,13.9,0
62,Jameis Winston,NO,QB,7,1.7,3.415
63,Marcus Mariota,PHI,QB,3,3.9,4.694
64,Tim Boyle,NYJ,QB,3,3.6,3.26
65,Case Keenum,HOU,QB,2,4.9,6.39
66,Clayton Tune,ARI,QB,8,0.9,2.092
67,Brett Rypien,NYJ,QB,2,3.4,1.71
68,Blaine Gabbert,KC,QB,2,3,5.81
69,Brian Hoyer,LV,QB,3,1.6,1.581
70,Cooper Rush,DAL,QB,8,0.4,0.512
71,Malik Willis,TEN,QB,3,1,2.655
72,Jaren Hall,MIN,QB,3,0.7,2.487
73,Mike White,MIA,QB,6,0.3,2.955
74,Sean Clifford,GB,QB,2,0.6,0.64
75,AJ McCarron,CIN,QB,2,0.4,0.42
76,Sam Ehlinger,IND,QB,3,0,0
76,Malik Cunningham,BAL,QB,2,0,0
76,Jacob Eason,NYG,QB,2,0,0
76,Aaron Rodgers,NYJ,QB,1,0,0
76,Max Duggan,LAC,QB,1,0,0
81,Kyle Trask,TB,QB,2,0,0.05
82,Teddy Bridgewater,DET,QB,1,-0.2,0
83,Matt Barkley,JAX,QB,1,-0.3,0
84,Logan Woodside,ATL,QB,1,-0.3,0
85,Nathan Peterman,CHI,QB,2,-0.2,0.2
86,Kyle Allen,BUF,QB,7,-0.2,0.083
99,League Average (8+ Games),NFL,QB,13.27,13.5,6.5
