Rank,Name,Team,Position,Played,FantasyPointsPerGamePPR,StDev_PointsPerGamePPR
1,Sam LaPorta,DET,TE,17,14.1,7.47
2,Evan Engram,JAX,TE,17,13.5,7.05
7,Trey McBride,ARI,TE,17,10.7,7.39
8,Cole Kmet,CHI,TE,17,10.7,7.41
9,Jake Ferguson,DAL,TE,17,10.4,5.3
12,Kyle Pitts,ATL,TE,17,8.1,4.18
16,Jonnu Smith,ATL,TE,17,7.3,5.82
17,Tyler Conklin,NYJ,TE,17,7.2,3.71
19,Cade Otton,TB,TE,17,6.9,5.2
20,Chigoziem Okonkwo,TEN,TE,17,6.7,3.83
24,Isaiah Likely,BAL,TE,17,5.9,6.75
28,Tucker Kraft,GB,TE,17,4.6,4.95
31,Noah Fant,SEA,TE,17,4.3,3.47
35,Noah Gray,KC,TE,17,4.2,2.87
36,Mike Gesicki,NE,TE,17,3.8,3.18
37,Colby Parkinson,SEA,TE,17,3.6,3.41
38,Adam Trautman,DEN,TE,17,3.6,3.8
41,Josh Oliver,MIN,TE,17,3.1,3.79
44,Daniel Bellinger,NYG,TE,17,3,2.93
45,Drew Sample,CIN,TE,17,3,3.27
46,Mo Alie-Cox,IND,TE,17,2.9,3.47
47,Austin Hooper,LV,TE,17,2.8,2
50,Johnny Mundt,MIN,TE,17,2.4,3.86
52,Connor Heyward,PIT,TE,17,2.3,2.46
54,Harrison Bryant,CLE,TE,17,2.2,4.1
55,Pharaoh Brown,NE,TE,17,2.2,3.87
58,John Bates,WAS,TE,17,2,2.24
63,Luke Farrell,JAX,TE,17,1.7,2.2
64,Jordan Akins,CLE,TE,17,1.7,1.49
66,Luke Schoonmaker,DAL,TE,17,1.6,2.8
67,MyCole Pruitt,ATL,TE,17,1.5,2.25
73,Robert Tonyan,CHI,TE,17,1.3,1.9
77,Mitchell Wilcox,CIN,TE,17,0.9,1.21
81,Darnell Washington,PIT,TE,17,0.8,0.93
82,Marcedes Lewis,CHI,TE,17,0.8,1.76
84,Ben Sims,GB,TE,17,0.7,1.73
85,Blake Bell,KC,TE,17,0.7,2.18
89,Jack Stoll,PHI,TE,17,0.5,0.83
94,Charlie Woerner,SF,TE,17,0.4,0.84
5,George Kittle,SF,TE,16,12.7,8.24
6,David Njoku,CLE,TE,16,12.6,6.84
11,Dalton Kincaid,BUF,TE,16,9.4,5.53
15,Logan Thomas,WAS,TE,16,7.9,5.44
33,Durham Smythe,MIA,TE,16,4.5,3.33
38,Tommy Tremble,CAR,TE,16,3.8,3.03
50,Will Dissly,SEA,TE,16,2.5,3.4
61,Stone Smartt,LAC,TE,16,2,3.12
93,Ko Kieft,TB,TE,16,0.4,1.74
101,Chris Manhertz,DEN,TE,16,0.2,0.6
3,Travis Kelce,KC,TE,15,14.6,7.73
4,T.J. Hockenson,MIN,TE,15,14.6,6.62
