Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Grand Total
A.J. Brown,14.9,6.9,22.1,38.5,18.7,20.1,29.7,33,19.6,0,1.8,14.7,19.4,16.4,10.6,14,9.3,0,289.7
A.T. Perry,0,0,0,0,0,0,0,0,0,11.8,0,1.7,4,5.4,5.4,10.5,1.5,20.3,60.6
Adam Thielen,3.2,20.4,31.5,15.2,27.7,28.5,0,15.2,7.9,10.2,15.4,1.2,5.5,12.4,8.3,15.4,9.8,3.2,231
Alec Pierce,1.5,4.8,7.3,4.8,2,5.5,8.3,7.1,0,3.1,0,6.7,19,4.2,2.3,6,12.8,0,95.4
Alex Erickson,0,0,0,0,0,0,0,0,0,0,2.2,2.7,3.3,1.9,8.3,5.1,16.8,4.9,45.2
Allen Lazard,6.6,4.3,6.9,15.1,6.3,1.8,0,7.5,3.8,2.7,0,0,0,0,5.1,0,0,0,60.1
Allen Robinson II,11.4,3.2,6.4,1.8,7.9,0,1.7,0,2,0,5,2.1,4.9,3.1,4.9,7.6,0,0,62
Amari Cooper,6.7,16,24.6,2.6,0,14.8,4.2,14.9,24.9,15.8,7.4,3.6,6.4,12.7,20.9,51.5,0,0,227
Amari Rodgers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amon-Ra St. Brown,19.1,14.2,19.6,16.6,0,30.4,23.2,16.8,0,30.5,21.7,18.5,12.9,5.1,24.2,28.6,22.1,27.4,330.9
Andre Baccellia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrei Iosivas,0,0,0,0,1.9,7.3,0,7.2,1.9,0,0,2.6,0,0,1.5,7.6,0,20.6,50.6
Antoine Green,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2
Austin Trammell,0,0,0,0,0,0,0,0,1.6,0,5.3,0,0,0,0,0,0,0,6.9
Ben Skowronek,0,3.1,1.3,0,0,0,0,9,0,0,0,0.9,3.2,0,0,0,0,4.2,21.7
Bo Melton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,9.1,22.5,12.6,45.9
Brandin Cooks,4.2,0,3.7,6.7,2.3,15,0,14.2,1.7,32.3,7.2,17.2,16.5,5.7,3,10.3,17,16.2,173.2
Brandon Aiyuk,32.9,7.3,0,20.8,9.8,11.6,10.7,15.9,0,14.5,26.6,13,15.6,16.6,6.7,17.3,24.4,5.5,249.2
Brandon Johnson,5.1,20.6,3.2,7.4,1.9,0,0,0,0,0,0,0,0,0,0,15.7,6.7,12.8,73.4
Brandon Powell,0,0,1.5,0,9.2,4.9,10.9,2.2,9.5,7.5,6.2,7.7,0,0,0,8.3,0,1.2,69.1
Braxton Berrios,7.2,4.8,5.3,17.4,3.3,4,1.7,2.8,0,0,0,0,0,3.3,2.2,0,3,2.9,57.9
Britain Covey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,6.5,8.2
Byron Pringle,0,1.4,0,2.5,2,0,2.6,0,8.5,1.7,3.2,4.7,0,0,1.5,0,0,0,28.1
Calvin Austin III,9.7,1.8,15.2,5.9,0,0,0.1,4.9,1,1.9,0,1.5,2,1.2,0,6.7,0,0.8,52.7
Calvin Ridley,24.1,5.2,7,11.8,20.6,6.6,1.5,14.3,0,4,31.1,21.9,7.3,9.3,8.9,25.8,7.9,22.6,229.9
Cedric Tillman,0,0,0,1.5,0,0,0,0,1.3,0,2,9.5,4,4.3,9.2,3.3,1.8,7.3,44.2
Cedrick Wilson Jr.,0,0,0,2.6,9.2,0,6.8,7.1,10.1,0,5.3,0,0,5,2.2,7.2,10.7,3.4,69.6
CeeDee Lamb,11.7,25.3,10.2,14.8,8.9,18.7,0,41,28.1,39.5,16.5,17.3,32.6,19.1,18.6,25.2,40.2,35.5,403.2
Cephus Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie Jones,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,3,0.9,0,9.2,14.7
