Rank,PlayerID,Name,Team,Position,Played,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PointsFromPassingYards,PFPY PCT_TOTAL,PassingYardsPerAttempt,PassingTouchdowns,PointsFromPassingTDs,PFPTD PCT_TOTAL,PassingInterceptions,PointsFromINTs,PFINT PCT_TOTAL,PassingRating,RushingAttempts,RushingYards,PointsFromRYDs,PFRY PCT_TOTAL,RushingYardsPerAttempt,RushingTouchdowns,PointsFromRTDs,PFRTD PCT_TOTAL,FantasyPointsPerGamePPR,FantasyPointsPPR
1,19801,Josh Allen,BUF,QB,17,385,579,66.5,4306,172.24,0.45,7.4,29,116,0.3,18,-18,-0.05,92.22,111,524,52.4,0.14,4.7,15,60,0.16,23.1,382.64
2,21831,Jalen Hurts,PHI,QB,17,352,538,65.4,3858,154.32,0.44,7.2,23,92,0.26,15,-15,-0.04,89.12,157,605,60.5,0.17,3.9,15,60,0.17,21,351.82
3,18055,Dak Prescott,DAL,QB,17,410,590,69.5,4516,180.64,0.52,7.7,36,144,0.41,9,-9,-0.03,105.87,55,242,24.2,0.07,4.4,2,8,0.02,20.2,347.84
4,19781,Lamar Jackson,BAL,QB,16,307,457,67.2,3678,147.12,0.43,8,24,96,0.28,7,-7,-0.02,102.72,148,821,82.1,0.24,5.5,5,20,0.06,20.7,338.22
5,21841,Jordan Love,GB,QB,17,372,579,64.2,4159,166.36,0.51,7.2,32,128,0.39,11,-11,-0.03,96.06,50,247,24.7,0.08,4.9,4,16,0.05,18.8,324.06
6,23241,Brock Purdy,SF,QB,16,308,444,69.4,4280,171.2,0.56,9.6,31,124,0.4,11,-11,-0.04,113.01,39,144,14.4,0.05,3.7,2,8,0.03,18.5,306.6
7,17922,Jared Goff,DET,QB,17,407,605,67.3,4575,183,0.61,7.6,30,120,0.4,12,-12,-0.04,97.92,32,21,2.1,0.01,0.7,2,8,0.03,17,301.1
8,18890,Patrick Mahomes,KC,QB,16,401,597,67.2,4183,167.32,0.56,7,27,108,0.36,14,-14,-0.05,92.56,75,389,38.9,0.13,5.2,0,0,0,17.5,300.22
9,23239,C.J. Stroud,HOU,QB,15,319,499,63.9,4108,164.32,0.59,8.2,23,92,0.33,5,-5,-0.02,100.85,39,167,16.7,0.06,4.3,3,12,0.04,18.4,280.02
10,19790,Baker Mayfield,TB,QB,17,364,566,64.3,4044,161.76,0.57,7.1,28,112,0.39,10,-10,-0.04,94.57,62,163,16.3,0.06,2.6,1,4,0.01,16.1,284.06
11,21677,Tua Tagovailoa,MIA,QB,17,388,560,69.3,4624,184.96,0.63,8.3,29,116,0.39,14,-14,-0.05,101.07,35,74,7.4,0.03,2.1,0,0,0,15.9,294.36
12,22490,Trevor Lawrence,JAX,QB,16,370,564,65.6,4016,160.64,0.57,7.1,21,84,0.3,14,-14,-0.05,88.49,70,339,33.9,0.12,4.8,4,16,0.06,16.4,280.54
13,23185,Sam Howell,WAS,QB,17,388,612,63.4,3946,157.84,0.59,6.4,21,84,0.31,21,-21,-0.08,78.92,48,263,26.3,0.1,5.5,5,20,0.07,15.1,267.14
14,14536,Russell Wilson,DEN,QB,15,297,447,66.4,3070,122.8,0.46,6.9,26,104,0.39,8,-8,-0.03,98,80,341,34.1,0.13,4.3,3,12,0.05,17.1,264.9
15,9038,Matthew Stafford,LAR,QB,15,326,521,62.6,3965,158.6,0.63,7.6,24,96,0.38,11,-11,-0.04,92.49,21,65,6.5,0.03,3.1,0,0,0,16.2,250.1
16,16311,Derek Carr,NO,QB,17,375,548,68.4,3878,155.12,0.62,7.1,25,100,0.4,8,-8,-0.03,97.72,32,40,4,0.02,1.2,0,0,0,14.2,251.12
17,21681,Justin Herbert,LAC,QB,13,297,456,65.1,3134,125.36,0.54,6.9,20,80,0.34,7,-7,-0.03,93.22,52,228,22.8,0.1,4.4,3,12,0.05,18,233.16
18,22492,Justin Fields,CHI,QB,13,227,370,61.4,2562,102.48,0.43,6.9,16,64,0.27,9,-9,-0.04,86.34,124,657,65.7,0.27,5.3,4,16,0.07,17.7,239.18
19,14895,Geno Smith,SEA,QB,15,323,499,64.7,3624,144.96,0.62,7.3,20,80,0.34,9,-9,-0.04,92.13,37,155,15.5,0.07,4.2,1,4,0.02,15.2,235.46
20,19025,Joshua Dobbs,MIN,QB,13,262,417,62.8,2464,98.56,0.48,5.9,13,52,0.25,10,-10,-0.05,79.46,77,421,42.1,0.2,5.5,6,24,0.12,15.4,206.66
21,20880,Gardner Minshew,IND,QB,16,305,490,62.2,3305,132.2,0.64,6.7,15,60,0.29,9,-9,-0.04,84.61,34,100,10,0.05,2.9,3,12,0.06,12.3,205.2
22,22502,Desmond Ridder,ATL,QB,15,249,388,64.2,2836,113.44,0.6,7.3,12,48,0.25,12,-12,-0.06,83.44,53,193,19.3,0.1,3.6,5,20,0.11,11.8,188.74
