Rank,PlayerID,Name,Team,Position,Played,RushingAttempts,RushingYards,PointsFromRushingYards,PFRY_PCT_TOTAL,RushingYardsPerAttempt,RushingTouchdowns,PointsFromRushingTDs,PFRTD_PCT_TOTAL,ReceivingTargets,Receptions,PointsFromRec,PFREC_PCT_TOTAL,ReceivingYards,PointsFromRecYds,PFRECY_PCT_TOTAL,ReceivingTouchdowns,PointsFromRecTDs,PFRECTD_PCT_TOTAL,Fumbles,FumblesLost,PointsFromFumblesLost,PFFUM_PCT_TOTAL,FantasyPointsPerGamePPR,FantasyPointsPPR
1,18877,Christian McCaffrey,SF,RB,16,272,1459,145.9,0.37,5.4,14,84,0.21,83,67,67,0.17,564,56.4,0.14,7,42,0.11,3,2,-4,-0.01,24.5,391.3
2,22526,Breece Hall,NYJ,RB,17,223,994,99.4,0.34,4.5,5,30,0.1,95,76,76,0.26,591,59.1,0.2,4,24,0.08,2,0,0,0,17.1,288.5
3,21696,Travis Etienne Jr.,JAX,RB,17,267,1008,100.8,0.36,3.8,11,66,0.24,73,58,58,0.21,476,47.6,0.17,1,6,0.02,0,0,0,0,16.6,278.4
4,23217,Rachaad White,TB,RB,17,272,990,99,0.37,3.6,6,36,0.13,70,64,64,0.24,549,54.9,0.2,3,18,0.07,3,2,-4,-0.01,15.8,267.9
5,17217,Raheem Mostert,MIA,RB,15,209,1012,101.2,0.38,4.8,18,108,0.4,32,25,25,0.09,175,17.5,0.07,3,18,0.07,4,1,-2,-0.01,17.8,267.7
6,18858,Joe Mixon,CIN,RB,17,257,1034,103.4,0.39,4,9,54,0.2,64,52,52,0.2,376,37.6,0.14,3,18,0.07,0,0,0,0,15.7,265
7,23212,Kyren Williams,LAR,RB,12,228,1144,114.4,0.45,5,12,72,0.28,48,32,32,0.13,206,20.6,0.08,3,18,0.07,3,2,-4,-0.02,21.2,253
8,17959,Derrick Henry,TEN,RB,17,280,1167,116.7,0.49,4.2,12,72,0.3,36,28,28,0.12,214,21.4,0.09,0,0,0,0,0,0,0,14.5,238.1
9,23189,Bijan Robinson,ATL,RB,17,214,976,97.6,0.4,4.6,4,24,0.1,86,58,58,0.24,487,48.7,0.2,4,24,0.1,4,3,-6,-0.02,14.5,246.3
10,23200,Jahmyr Gibbs,DET,RB,15,182,945,94.5,0.39,5.2,10,60,0.25,71,52,52,0.21,316,31.6,0.13,1,6,0.02,2,1,-2,-0.01,16.1,242.1
11,18878,Alvin Kamara,NO,RB,13,180,694,69.4,0.31,3.9,5,30,0.13,86,75,75,0.33,466,46.6,0.21,1,6,0.03,0,0,0,0,17.9,227
12,23247,James Cook,BUF,RB,17,237,1122,112.2,0.48,4.7,2,12,0.05,54,44,44,0.19,445,44.5,0.19,4,24,0.1,4,2,-4,-0.02,13.7,232.7
13,19766,Saquon Barkley,NYG,RB,14,247,962,96.2,0.43,3.9,6,36,0.16,60,41,41,0.19,280,28,0.13,4,24,0.11,2,2,-4,-0.02,15.9,221.2
