STATION,NAME,DATE,AWND,DAPR,EVAP,MDPR,MNPN,MXPN,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WDMV,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT08
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/3/2024,,3,,0,,,,,,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/4/2024,,,,,,,,0,0,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/5/2024,,,,,,,,0,0,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/6/2024,,,,,,,,0,0,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/7/2024,,,,,,,,0.46,,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/8/2024,,,,,,,,0.01,,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/9/2024,,,,,,,,0.01,,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/10/2024,,,,,,,,0.13,,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/11/2024,,,,,,,,0.04,,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/12/2024,,,,,,,,0.33,,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/14/2024,,,,,,,,0.02,,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/15/2024,,,,,,,,0.21,,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/16/2024,,,,,,,,0.01,,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/17/2024,,,,,,,,0.05,,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/18/2024,,,,,,,,0,0,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/19/2024,,,,,,,,0,0,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/20/2024,,,,,,,,0.01,,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/21/2024,,,,,,,,0,0,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/22/2024,,,,,,,,0,0,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/23/2024,,,,,,,,0,,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/27/2024,,,,,,,,0.03,,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/28/2024,,,,,,,,0,0,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/29/2024,,,,,,,,0,0,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/30/2024,,,,,,,,0,0,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",1/31/2024,,,,,,,,0,0,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",2/1/2024,,,,,,,,0,0,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",2/2/2024,,,,,,,,0,0,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",2/3/2024,,,,,,,,0,0,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",2/4/2024,,,,,,,,0,0,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",2/5/2024,,,,,,,,0.5,,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",2/7/2024,,,,,,,,0.1,,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",2/8/2024,,,,,,,,0,0,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",2/9/2024,,,,,,,,0.01,,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",2/10/2024,,,,,,,,0,0,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",2/11/2024,,,,,,,,0,0,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",2/12/2024,,,,,,,,0,,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",2/13/2024,,,,,,,,0.13,,,,,,,,,,,,,,,,,
US1FLBW0174,"HOLLYWOOD 2.0 SSE, FL US",2/14/2024,,,,,,,,0,0,,,,,,,,,,,,,,,,
