STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/1/2024,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/2/2024,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/3/2024,,,,,0.37,,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/4/2024,,,,,0.11,,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/5/2024,,,,,0.08,,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/6/2024,,,,,0.98,,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/7/2024,,,,,0.11,,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/8/2024,,,,,0.3,,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/9/2024,,,,,0.86,,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/10/2024,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/11/2024,,,,,0.02,,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/12/2024,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/13/2024,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/14/2024,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/15/2024,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/16/2024,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/17/2024,,,,,0.63,,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/18/2024,,,,,0.18,,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/19/2024,,,,,0.49,,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/20/2024,,,,,0,0,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/21/2024,,,,,0.51,,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/22/2024,,,,,0.92,,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/23/2024,,,,,0.17,,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/24/2024,,,,,0.34,,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/25/2024,,,,,0.36,,,,,,,,,,,,,,,,,,,,
US1WAKP0068,"PORT ORCHARD 6.3 ESE, WA US",1/26/2024,,,,,0.09,,,,,,,,,,,,,,,,,,,,
